_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
1,2/19,Online Form,2018-11-26 00:00:00,Lack of Justification,2019-01-03 00:00:00,משרד הרווחה והשירותים החברתיים,2019-03-21 12:15:12,Justified,77.0,Treatment Completed,Unspecified,Unspecified,2019,1,38,1
2,4/19,Online Form,2018-11-27 00:00:00,No Response,2019-01-13 00:00:00,הנהלת בתי הדין הרבניים,2019-02-17 09:04:41,Unjustified,35.0,Treatment Completed,Unspecified,Unspecified,2019,1,47,0
3,5/19,Online Form,2018-08-09 00:00:00,No Response,2019-01-16 00:00:00,משרד ראש הממשלה,2019-03-24 18:04:32,Justified,67.0,Treatment Completed,Unspecified,Unspecified,2019,1,160,1
4,6/19,Online Form,2018-03-03 00:00:00,No Response,2019-01-17 00:00:00,משרד האוצר,2019-03-11 11:22:06,Justified,53.0,Treatment Completed,Unspecified,Unspecified,2019,1,320,1
5,8/19,Email,2018-11-18 00:00:00,No Response,2019-01-27 13:25:00,משרד האוצר,2019-06-17 14:27:44,Justified,141.0,Treatment Completed,Unspecified,Unspecified,2019,1,70,1
6,10/19,Online Form,2018-10-10 00:00:00,No Response,2019-01-29 00:00:00,משרד ראש הממשלה,2019-04-11 09:09:14,Justified,72.0,Treatment Completed,Unspecified,Unspecified,2019,1,111,1
7,11/19,Online Form,2018-12-18 00:00:00,No Response,2019-01-29 00:00:00,משרד הבריאות,2019-04-15 13:43:14,Justified,76.0,Treatment Completed,Unspecified,Unspecified,2019,1,42,1
8,12/19,Online Form,2019-01-30 00:00:00,No Response,2019-01-30 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-03-11 12:00:59,Unjustified,40.0,Treatment Completed,Unspecified,Unspecified,2019,1,0,0
9,19/19,Fax,2018-09-13 00:00:00,No Response,2019-02-03 16:26:00,רשות המסים בישראל,2019-03-07 11:24:45,Justified,31.0,Treatment Completed,Unspecified,Unspecified,2019,2,143,1
10,20/19,Online Form,2019-01-14 00:00:00,No Response,2019-02-04 00:00:00,רשות האכיפה והגבייה,2019-03-05 13:19:25,Unjustified,29.0,Treatment Completed,Unspecified,Unspecified,2019,2,21,0
11,22/19,Email,2018-08-28 00:00:00,No Response,2019-02-11 11:42:00,משרד הרווחה והשירותים החברתיים,2019-03-11 13:21:43,Justified,28.0,Treatment Completed,Unspecified,Unspecified,2019,2,167,1
12,23/19,Online Form,2018-12-06 00:00:00,No Response,2019-02-14 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-03 08:30:49,Justified,109.0,Treatment Completed,Unspecified,Unspecified,2019,2,70,1
13,24/19,Online Form,2019-02-14 00:00:00,No Response,2019-02-14 00:00:00,משרד האוצר,2019-03-04 08:20:38,Unjustified,18.0,Treatment Completed,Unspecified,Unspecified,2019,2,0,0
14,25/19,Online Form,2018-12-11 00:00:00,No Response,2019-02-19 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-17 08:13:45,Justified,118.0,Treatment Completed,Unspecified,Unspecified,2019,2,70,1
15,26/19,Online Form,2018-12-10 00:00:00,No Response,2019-02-20 00:00:00,משרד הרווחה והשירותים החברתיים,2019-03-11 13:57:29,Justified,19.0,Treatment Completed,Unspecified,Unspecified,2019,2,72,1
16,28/19,Online Form,2019-01-20 00:00:00,No Response,2019-02-25 00:00:00,משרד האוצר,2019-03-11 14:06:27,Justified,14.0,Treatment Completed,Unspecified,Unspecified,2019,2,36,1
17,30/19,Email,2018-07-26 00:00:00,No Response,2019-02-26 09:42:00,המשרד לביטחון פנים,2019-04-16 10:17:14,Justified,49.0,Treatment Completed,Unspecified,Unspecified,2019,2,215,1
18,33/19,Online Form,2019-02-27 00:00:00,Administrative Guidelines,2019-02-27 00:00:00,הנהלת בתי המשפט,2019-05-12 13:06:27,Justified,74.0,Treatment Completed,Unspecified,Unspecified,2019,2,0,1
19,32/19,Online Form,2018-11-05 00:00:00,No Response,2019-02-27 00:00:00,משרד החינוך,2019-06-19 09:48:38,Justified,112.0,Treatment Completed,Unspecified,Unspecified,2019,2,114,1
20,34/19,Online Form,2019-01-22 00:00:00,No Response,2019-03-04 00:00:00,רשות המסים בישראל,2019-06-02 09:00:31,Justified,90.0,Treatment Completed,Unspecified,Unspecified,2019,3,41,1
21,35/19,Online Form,2019-02-06 00:00:00,No Response,2019-03-07 00:00:00,משרד הבריאות,2019-05-20 12:18:15,Unjustified,74.0,Treatment Completed,Unspecified,Unspecified,2019,3,29,0
22,37/19,Online Form,2018-01-07 00:00:00,No Response,2019-03-17 00:00:00,משרד הביטחון,2019-09-04 15:03:38,Justified,171.0,Treatment Completed,Unspecified,Unspecified,2019,3,434,1
23,36/19,Online Form,2017-08-10 00:00:00,No Response,2019-03-17 00:00:00,משרד הביטחון,2019-05-16 12:05:08,Unjustified,60.0,Treatment Completed,Unspecified,Unspecified,2019,3,584,0
24,40/19,Online Form,2019-01-01 00:00:00,No Response,2019-03-19 00:00:00,משרד הבריאות,2019-07-31 09:16:23,Justified,134.0,Treatment Completed,Unspecified,Unspecified,2019,3,77,1
25,41/19,Online Form,2019-02-06 00:00:00,No Response,2019-03-20 00:00:00,עיריית טבריה,2019-03-28 09:39:43,Justified,8.0,Treatment Completed,Unspecified,Unspecified,2019,3,42,1
26,44/19,Online Form,2019-02-20 00:00:00,No Response,2019-03-28 00:00:00,רשות מקרקעי ישראל,2019-05-29 10:37:25,Unjustified,62.0,Treatment Completed,Unspecified,Unspecified,2019,3,36,0
27,46/19,Online Form,2018-05-03 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-08-12 11:47:25,Justified,134.0,Treatment Completed,Unspecified,Unspecified,2019,3,332,1
28,48/19,Online Form,2018-09-02 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-07-04 08:24:35,Justified,95.0,Treatment Completed,Unspecified,Unspecified,2019,3,210,1
29,50/19,Online Form,2019-01-31 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-07-21 11:09:26,Justified,112.0,Treatment Completed,Unspecified,Unspecified,2019,3,59,1
30,47/19,Online Form,2018-09-02 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-04-04 14:09:25,Treatment Discontinued,4.0,Treatment Completed,Unspecified,Unspecified,2019,3,210,0
31,49/19,Online Form,2019-01-13 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-04-04 14:13:00,Treatment Discontinued,4.0,Treatment Completed,Unspecified,Unspecified,2019,3,77,0
32,45/19,Online Form,2019-02-03 00:00:00,No Response,2019-03-31 00:00:00,רשות המים והביוב,2019-12-02 15:28:26,Unjustified,246.0,Treatment Completed,Unspecified,Unspecified,2019,3,56,0
33,54/19,Online Form,2018-12-31 00:00:00,No Response,2019-04-03 00:00:00,משרד החינוך,2019-08-12 11:22:15,Justified,131.0,Treatment Completed,Unspecified,Unspecified,2019,4,93,1
34,53/19,Online Form,2018-12-27 00:00:00,No Response,2019-04-03 00:00:00,משרד החינוך,2019-08-13 07:56:13,Justified,132.0,Treatment Completed,Unspecified,Unspecified,2019,4,97,1
35,58/19,Email,2019-02-11 00:00:00,Unknown,2019-04-11 11:47:00,משרד הבריאות,2019-07-09 10:23:10,Justified,88.0,Treatment Completed,Unspecified,Unspecified,2019,4,59,1
