_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
1, 240/21,2021-01-03 00:00:00,2021-09-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,"דוח מוניטור בנושא יישום דו""ח מבקר שנתי )2010 )61ב""",סיום טיפול,מוצדק,20/06/2021,42
2, 251/21,2020-10-23 00:00:00,2021-05-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המרכז הירושלמי לבריאות הנפש,נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,187
3, 259/21,2021-04-20 00:00:00,2021-05-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,פרמיות סטודנטים,סיום טיפול,מוצדק,30/08/2021,103
4, 301/21,2021-06-06 00:00:00,2021-08-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,אי מתן מענה סמוכין 273664 ,סיום טיפול,בלתי מוצדק,09/06/2021,1
5, 328/21,2020-02-23 00:00:00,2021-04-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,דישון KCL אורגני לשנה בקרקעות ישראל,סיום טיפול,מוצדק חלקית,21/07/2021,17
6, 329/21,2021-02-06 00:00:00,2021-04-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי המשפט,אי המצאת אסמכתאות ללא סיבה מוצדקת בחוק,סיום טיפול,בלתי מוצדק,30/08/2021,57
7, 345/21,2021-11-07 00:00:00,2021-07-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות המים והביוב,אי מתן מענה סמוכין 279542 11.07.21 ,סיום טיפול,בלתי מוצדק,21/07/2021,8
8, 353/21,2021-06-04 00:00:00,2021-07-19 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,יומני פגישות התייעצות לדוח RIA בקשה 260862,סיום טיפול,מוצדק,30/05/2022,315
9, 355/21,2020-09-24 00:00:00,2021-07-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,מניעויות דיינים,סיום טיפול,בלתי מוצדק,09/03/2022,232
10, 363/21,2021-04-20 00:00:00,2021-07-21 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,פגישות נציגי משרד התחבורה לדוח הria בקשה 264938,סיום טיפול,מוצדק,26/05/2022,309
11, 364/21,2021-04-04 00:00:00,2021-07-21 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,רישום דגם עגורן בפנקס עגורנים בקשה 260898,סיום טיפול,מוצדק,26/05/2022,309
12, 367/21,2021-04-04 00:00:00,2021-07-23 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,יומני פגישות עובדי מינהל הבטיחות לדוח הria,סיום טיפול,מוצדק,30/08/2021,38
13, 382/21,2021-07-14 00:00:00,2021-06-08 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,מי הוא גורם מקצוע למתן תשובה במנהל הבטיחות,סיום טיפול,בלתי מוצדק,09/08/2021,3
14, 466/21,2021-01-09 00:00:00,2021-01-10 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,רשימת תיקים שטרם נסגרו,סיום טיפול,מוצדק,09/03/2022,159
15, 372/22,2022-02-06 00:00:00,2022-08-31 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,רשות המסים בישראל,אירועי שומר החומות - פירוט המידע בדבר פיצויים ששולמו או שהוחלט כי ישולמו בגין נזקי רכוש,סיום טיפול,מוצדק,04/05/2023,242
16, 62/23,2022-08-24 00:00:00,2023-02-18 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,בקשה לקבלת תקנה,סיום טיפול,מוצדק,20/04/2023,60
17, 159/23,2023-03-17 00:00:00,2023-04-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,הרשות לאכיפה במקרקעין - משרד האוצר,קבלת מידע אודות עסק חוות השלושה,סיום טיפול,מוצדק,09/05/2023,5
18, 237/23,2023-12-01 00:00:00,2023-06-20 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,הגדרת מיצוי כושר השתכרות,סיום טיפול,מוצדק,28/06/2023,8
19, 142/24,2023-09-13 00:00:00,2024-02-05 00:00:00,דואר אלקטרוני,עמותה,עיתים,אי מתן מענה,המשרד לשירותי דת,מינוי נשים לתפקידים בכירים במועצות דתיות,,,29/05/2024,103
20, 143/24,2024-03-13 00:00:00,2024-01-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד החינוך,היקף סל שירותים,סיום טיפול,מוצדק,22/05/2024,20
21, 218/24,2024-03-26 00:00:00,2024-06-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,תמריצים לעובדי ההוראה ים המלח,סיום טיפול,מוצדק,26/06/2024,3
22, 190/21,2021-04-18 00:00:00,2021-04-26 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,מועצה אזורית אלונה,בדיקה בדיקה111,סיום טיפול,מוצדק,03/08/2022,464
23, 191/21,2021-04-18 00:00:00,2021-04-26 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,בית חולים אסף הרופא,בדיקה בדיקה,סיום טיפול,מוצדק חלקית,27/05/2024,1127
24, 200/21,2021-10-02 00:00:00,2021-04-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,רשימת כל התלונות שהגיש המתלונן למשטרה נגד גרושתו.,סיום טיפול,בלתי מוצדק,27/01/2022,276
25, 204/21,2021-02-21 00:00:00,2021-04-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה על בקשת חופש מידע,סיום טיפול,בלתי מוצדק,04/05/2021,7
26, 288/21,2021-01-04 00:00:00,2021-03-06 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד הבריאות,שיווק תמרוקים וניסויים בבעלי חיים,סיום טיפול,בלתי מוצדק,22/06/2021,19
27, 304/21,2021-04-04 00:00:00,2021-10-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,דרגת שכר בשירות המדינה,סיום טיפול,מוצדק,16/11/2021,159
28, 318/21,2020-11-23 00:00:00,2021-06-22 00:00:00,טופס מקוון,עמותה,גישה,אי מתן מענה,משרד ראש הממשלה,החלטת ועדת השרים לביטחון לאומי ב/44 מיום 20.6.10,סיום טיפול,מוצדק,14/12/2021,175
29, 323/21,2021-11-04 00:00:00,2021-06-27 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,יישום תקנה 3(ב) לתקנות הבטיחות בעבודה,סיום טיפול,מוצדק,10/03/2022,256
30, 325/21,2021-02-03 00:00:00,2021-06-28 00:00:00,טופס מקוון,עמותה,"עתים - יעוץ ומידע במעגל החיים היהודי (ער)""",אי מתן מענה,הנהלת בתי הדין הרבניים,הליכי בירור יהדות,סיום טיפול,מוצדק,10/03/2022,255
31, 405/21,2021-04-28 00:00:00,2021-08-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,מידע לגבי מערכת מלשינון,סיום טיפול,מוצדק,30/08/2021,7
32, 423/21,2021-08-24 00:00:00,2021-05-09 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אגרות,הרשות הארצית לכבאות והצלה,מקרי הצתה שנחקרו בשנים 2015-2021 בחשד להצתה,סיום טיפול,בלתי מוצדק,10/03/2022,187
33, 484/21,2021-02-09 00:00:00,2021-10-15 00:00:00,טופס מקוון,עמותה,פורום משפחות עולים,חוסר בהנמקה,משרד הבינוי והשיכון,דיור ציבורי מכר דירות,סיום טיפול,בלתי מוצדק,10/03/2022,147
34, 504/21,2021-08-16 00:00:00,2021-10-24 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,משרד המשפטים,מספר כתבי אישום שהגישה פרקליטות המדינה בשנים 2021-2015 בגין הצתה לפי סעיף 448 (א) לחוק העונשין.,סיום טיפול,מוצדק,16/03/2022,143
35, 475/21,2021-06-21 00:00:00,2021-08-10 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בקשת מידע על תשלומי הורים בחטיבת ביניים בר לב בכפר,סיום טיפול,מוצדק,09/02/2022,124
36, 457/21,2021-07-22 00:00:00,2021-09-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות המסים בישראל,מתן מידע אודות חברת מעטים,סיום טיפול,בלתי מוצדק,10/03/2022,162
37, 343/21,2021-02-23 00:00:00,2021-12-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מספר המונשמים בכל בתי החולים בשנים האחרונות,סיום טיפול,מוצדק,16/03/2022,247
38, 342/21,2021-04-27 00:00:00,2021-12-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הפנים,"אישורי מנכל משרד הפנים והממונה ביו""ש""",סיום טיפול,מוצדק,30/08/2021,49
39, 341/21,2021-04-27 00:00:00,2021-12-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,"אישורי מנכל משרד האוצר לוועד מקומי שערי תקווה""",סיום טיפול,בלתי מוצדק,14/02/2022,217
40, 295/21,2021-01-28 00:00:00,2021-06-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,חאן לבונה,סיום טיפול,מוצדק,16/08/2021,71
41, 294/21,2021-09-02 00:00:00,2021-06-06 00:00:00,טופס מקוון,עמותה,"עתים - יעוץ ומידע במעגל החיים היהודי (ער)""",אי מתן מענה,משרד ראש הממשלה,מערך הגיור,סיום טיפול,מוצדק,30/08/2021,85
42, 290/21,2021-01-26 00:00:00,2021-05-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,שיעורי מחזור של בקבוקים גדולים,סיום טיפול,מוצדק,28/07/2021,54
43, 286/21,2021-02-13 00:00:00,2021-02-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,גיור (שתי בקשות שונות),סיום טיפול,מוצדק,18/08/2021,77
44, 284/21,2021-05-27 00:00:00,2021-05-31 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,מידע על החברות שזכו במכרז להבאת תיירים מחוסנים,סיום טיפול,בלתי מוצדק,07/07/2021,37
45, 270/21,2021-08-04 00:00:00,2021-05-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,החלטה להיטל קנס על חברת הדואר,סיום טיפול,בלתי מוצדק,17/11/2021,177
46, 223/21,2020-10-25 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המרכז הרפואי לבריאות הנפש מעלה הכרמל,נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,200
47, 222/21,2020-10-27 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מרכז בריאות הנפש מזור,נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,200
48, 221/21,2020-10-29 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מרכז בריאות הנפש באר שבע,נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,200
49, 220/21,2020-10-29 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"המרכז לבריאות הנפש באר-יעקב נס-ציונה מבן (שב""ס)""",נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,200
50, 218/21,2020-10-29 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המרכז לבריאות הנפש שער מנשה,נתונים על מחלקות פסיכיאטריות ,סיום טיפול,מוצדק,17/11/2021,200
51, 217/21,2020-11-17 00:00:00,2021-01-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"בית חולים רמבם""",נתונים על מחלקות פסיכיאטריות ,סיום טיפול,בלתי מוצדק,23/05/2021,22
52, 571/21,2021-09-08 00:00:00,2021-02-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,"נוהל הטיפול"" של רישום ילד שנולד בחוץ לארץ לאזרחים ישראליים""",סיום טיפול,בלתי מוצדק,24/11/2021,23
53, 572/21,2021-11-04 00:00:00,2021-02-11 00:00:00,טופס מקוון,אחר,,אי מתן מענה,"צהל""",מידע לגבי טיפול צה''ל בחיילים שהורשעו בעבירות סמים,סיום טיפול,מוצדק,28/03/2022,146
54, 575/21,2021-05-26 00:00:00,2021-08-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,"רשימת דוחות במסגרת יישום אזור אוויר נקי בחיפה""",סיום טיפול,מוצדק,07/02/2022,91
55, 577/21,2021-08-24 00:00:00,2021-09-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,"עמידה בנהלי חוזרי מנכל - לימודי יסוד""",סיום טיפול,מוצדק,07/02/2022,90
56, 580/21,2021-12-08 00:00:00,2021-11-16 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב,סיום טיפול,מוצדק,09/02/2022,85
57, 585/21,2021-09-30 00:00:00,2021-11-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,ישבת  דיינים בבתי דין,סיום טיפול,מוצדק,24/03/2022,122
58, 266/22,2022-07-04 00:00:00,2022-06-15 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,רישיון תמרוק ל- listerine,סיום טיפול,מוצדק,01/08/2022,46
